,idf_weight,fakeness_score
that,-1.9228198948599071,0.1848916389689148
for,-1.983676508445372,0.02625328982005759
are,-2.1204899105754786,-0.25299750557277734
on,-1.9722487929521317,0.05057867108043257
it,-1.7885911219792499,-0.09925440484540349
with,-1.9512700448302025,0.006923445266819428
thi,-1.992496526124601,-0.3291456840172923
as,-1.8055012831845525,0.055605483208589934
you,-1.5183352685229736,-0.39542458166103245
by,-1.7961531362547583,-0.03284166358345875
have,-1.80536976091271,-0.003924485480764295
i,-1.2759268870958527,-0.13359428408700014
wa,-1.535278862052831,0.2532799634761862
from,-1.7711178901101896,0.017281688915828486
not,-1.6379126321248096,0.09428733206423767
or,-1.627753159618896,-0.2112542044701281
at,-1.7866162656022975,0.006809599520832155
they,-1.481063485489209,1.352191571601935e-05
we,-1.439650276840766,0.04712211422893309
will,-1.5061685421402857,-0.24007908186891458
your,-1.6930103831578822,-0.6957436678767426
an,-1.6773245722945207,0.0453681338286791
ha,-1.6309684577843726,0.09296922098978322
blockchain,-2.077091281981938,-1.0
but,-1.5620988948419785,0.03524886302486818
all,-1.547439096845762,-0.1891553512217442
their,-1.4574562120027925,0.08638510780098918
he,-1.1209672116404337,0.4138635765538474
more,-1.581330576305785,-0.12262580562981484
can,-1.4386543364010431,-0.3090249715547819
us,-1.4163918531934667,0.2993555211112593
hi,-1.0864789768448362,0.4428132495260282
about,-1.4663109146052553,0.11655712262913087
who,-1.3687462903999614,0.3334201515804347
our,-1.2298802884170918,-0.021157611266875653
one,-1.4525548363431902,-0.004288784386255906
trump,-2.08597266737101,-0.4433158052327606
if,-1.338841052960129,-0.1335095577001033
what,-1.3209608574007212,0.02309054494709528
which,-1.3856991840371442,-0.026402681799042926
were,-1.2201866466889366,0.1813017939976791
been,-1.379325132363081,0.054148185828859274
peopl,-1.192594314138541,0.062106590843896026
out,-1.3860493311024877,-0.051856323521579206
so,-1.280828284335129,-0.07368497950155639
there,-1.3592879487581877,-0.017729223406661387
would,-1.147726209946362,0.1125299654351859
when,-1.2761501998295144,0.10341155357554288
up,-1.3179673393343885,-0.13553488126428426
bitcoin,-2.0772165682612496,-1.0
stock,-2.0776925130205632,-1.0
also,-1.3085003731798697,0.014664152905938144
my,-0.8612092186058441,-0.18822332520071539
new,-1.235826059674239,0.008772125279901344
do,-1.1690148327662497,0.03210810391773267
search,-2.0775171913047665,-1.0
exceed,-2.0773418388458755,-1.0
no,-1.1950188369377945,0.0009441921850119606
like,-1.194292097121045,-0.17341850068530318
some,-1.2016561228905764,-0.04041257834680778
into,-1.2299387522221668,-0.19444340821946282
other,-1.2651488035176885,-0.010447424603303723
time,-1.199066789491507,-0.25534426820255485
two,-1.59042225539558,-0.42542658357654206
market,-0.10004441017555692,-0.9999999995970176
had,-1.0033561074058375,0.38393231081912305
these,-1.1393126757944854,-0.10903820650977314
just,-1.1823466353878744,-0.14561176653168728
than,-1.1881543496629154,-0.04494069332499184
them,-1.0675412101797148,-0.013325223369023309
how,-1.117440585249089,-0.02229226179936794
mani,-1.1879104933174796,0.005393903331998295
think,-1.5227508464863226,-0.4172603243539793
over,-1.1366207288538157,-0.05298485958870491
said,-0.9275154978145835,0.5770038328708555
now,-1.0914601060109768,-0.06046364513216551
onli,-1.1186175098198534,0.012380653133580166
ani,-1.027409834994259,-0.09633559126496172
most,-1.054388681885946,-0.17290123625676856
first,-1.1592745568347353,-0.08339989434333639
even,-1.0062118713957768,0.03525113528743007
may,-0.9372769721495392,-0.18694725015676117
becaus,-0.9552883432190017,0.036209628909501745
fact,-1.4770989514374577,-0.7887453443358858
world,-0.8142225682502966,-0.11455131371260918
those,-0.9297280454374804,0.1320019529749359
after,-0.9931110223646353,0.20800354768951657
could,-0.9011446062267382,-0.029131105625168408
be,-0.9331950454669223,-0.05489062768653585
see,-0.8505867318298189,-0.11610884786357634
me,-0.5919004140436163,-0.0280295480927778
veri,-0.8226040335103806,-0.26331310331304925
stori,-1.3540862024308464,-0.5474816025889282
make,-0.9277527907775878,-0.19586252234857138
then,-0.8455334475831523,-0.0915071647486434
know,-0.8126265543985938,-0.04239719998990288
her,-0.22379933624026363,0.5844938673780353
such,-0.8398501952520463,0.05213741470208988
add,-1.300033611429996,-0.999999980850735
through,-0.8011132986854298,-0.10889896193491477
well,-0.8607864785677585,-0.26811823789874245
use,-0.7000334159228981,-0.6237071659517889
where,-0.8118275912326796,-0.07125624949961185
should,-0.7434695037074538,0.06693384114221201
much,-0.7662210467818169,-0.0701252996095103
state,-0.4969011263638888,0.2640762638554801
dont,-0.6774343785152779,-0.050774211557242044
reader,-1.261076883356442,-0.9999999999999973
befor,-0.8015620269969459,0.007542268907229754
day,-0.6596007382392661,-0.20058880877729746
year,-0.6107542131885106,-0.10904091496347068
here,-0.7453695432298711,-0.17142016077265432
she,-0.08876151127745789,0.5458621114756621
