,idf_weight,fakeness_score
time,0.8377338244281705,-0.1327159038064304
had,1.0374271367170131,0.1878121914213351
into,0.8722640871448005,-0.2541305167949359
just,0.83647754364503,-0.03129459833384862
them,0.9677694062249529,0.08481555292811471
next,0.30699492033499126,-0.9834042405799158
bitcoin,0.35702428036822353,-1.0
some,0.8657789843160038,-0.052723153863118655
how,0.9168341212566127,-0.03580086381966985
now,0.8389916854381336,-0.16425218133600128
like,0.9127607986343087,-0.014682990634950932
my,1.1986375922380563,0.24886953749407903
world,1.1040655314757923,-0.11531486018654447
onli,0.8886632631863511,-0.036434853566164604
two,0.6144646996822175,-0.3085616897574892
over,0.8814144718075076,-0.07540140325991784
after,0.9634836884406902,0.154871040214424
becaus,1.0497824967046703,0.06958112122906068
even,0.9990332892768873,-0.12564476826491
year,1.0071905401766734,0.051218441572691065
mani,0.998295009980363,0.18287727442382162
stock,0.3574130071413491,-1.0
<cur><number>,1.7025732763800607,-0.9433692035836242
first,0.8580519708068828,-0.03436868758270328
most,0.9858269441527334,-0.1485535996513846
could,1.057582842183683,-0.12463488599747774
ani,1.0237074197769622,-0.26373625242708565
those,1.0902160342224745,0.20679638385111465
govern,1.3061042197011137,-0.5216234101058397
think,0.7232386076233578,-0.09674831331802414
headlin,0.35508290990461944,-0.9999999995313948
search,0.3585800949349441,-1.0
exceed,0.3578018850817436,-1.0
fact,0.716534675646409,-0.7934061886900036
here,0.982915736064061,-0.22015164437484946
then,1.1640750333420005,-0.13728983675872886
sourc,0.6378635172559253,-0.9999988392175161
see,1.0869850162509016,-0.08987052791513161
while,1.0845685852856553,0.060188377981940544
may,1.1675654352360367,-0.19576294403964445
presid,1.481222672045037,0.4483930946082264
such,1.1807640314124097,-0.02743656831750718
market,1.97348093415232,-0.9999999814911507
make,1.1728239878807598,-0.08247052454377102
me,1.4163852276456579,0.37599731974250883
veri,1.2793567378330168,-0.03932602440379007
<number><number>,1.6278259573678537,-0.03491595890164445
against,1.3397980310820865,0.06325694424162953
well,1.1905549331322447,-0.1773016651916255
should,1.2514031374337264,0.12416259107193839
know,1.335652951722349,0.13419716010866178
life,1.5327677606090855,0.7694820617216329
stori,0.909378991814255,-0.28167446492594406
her,1.8520084816924214,0.9406735473715551
dont,1.3586664956070311,0.09843543551948786
last,1.2177551347681594,0.13159145263149896
state,1.4693319396626503,0.020128085205298962
befor,1.182537079950443,-0.07397235401149216
much,1.250453019500131,-0.20260794784672476
through,1.33152498314436,-0.1422389779641
where,1.2533060857692042,0.08097107636261902
him,1.6702650805979413,0.6581171051957488
war,1.828034771849228,-0.9836983920641471
news,1.3661014661975346,0.020121083950916496
day,1.4367709614816315,-0.04836522656680675
down,1.3586664956070311,-0.2529435698411401
she,1.9127413197484062,0.9604833165138582
use,1.4932564971272737,-0.7697641380990684
back,1.3222988892290117,-0.04221568627400718
whi,1.3586664956070311,-0.005092600805467473
money,1.8029708450683026,-0.6477782898317882
sinc,1.3450036594896202,-0.07788997191712699
own,1.4310664459603144,-0.018499750504352264
accord,1.3243417887720899,0.13173058527318515
everi,1.4231344020286565,0.044215845032686385
american,1.62505970770104,-0.2172753134488672
same,1.4564133958430296,0.09730038140437336
anoth,1.3986070013789993,-0.20597271255102123
between,1.4956807378003036,-0.07392817852735822
did,1.5115831941409965,0.1939818799255304
north,2.277604641336885,-0.5666293572338956
want,1.5608666359405472,0.10151060176169291
dure,1.4860188385577087,0.29325431161838234
unit,1.6818931016914862,0.06760080028483428
good,1.4740712794111945,0.10193696792769358
god,2.395718964406034,0.9932766478170307
great,1.6375685400068438,-0.1717551096354013
system,1.828034771849228,-0.9399911257428244
add,1.0405016948080281,-0.9999999960168089
public,1.609980621545143,-0.33760728056629763
made,1.414145587560151,0.1116505495479132
under,1.4968950655581117,-0.3359828572737349
inform,1.5556986724590898,-0.8367119150993251
both,1.4860188385577087,-0.004958031532184881
come,1.530252039176271,0.14025178511186986
thing,1.5991550906893983,0.04262835142354593
go,1.4740712794111945,0.1454898613044293
still,1.4872214830771135,0.13282275507505337
power,1.812921159419848,-0.4210699028734911
around,1.477640582939663,0.012812265690391511
off,1.4740712794111945,-0.2885946284650148
doe,1.5340279986331713,0.2238440442598706
reader,1.0741643380951011,-1.0
part,1.4884255756920772,0.011125072565142391
end,1.5582793157227155,-0.18274190206040708
long,1.50543690084772,-0.3001120858256635
high,1.7176111311304334,-0.197030216616065
free,1.70406692640585,-0.7068149407280979
global,2.017487946838716,-0.8100057390547941
cent,1.133197821263083,-1.0
today,1.593785957481265,0.3606847808565299
polit,1.9072316740562127,-0.10350633985895785
never,1.596466920640734,0.3833656400369303
say,1.581809782371291,0.3593923641640302
without,1.5608666359405472,-0.10840571303247348
law,1.8416635796863845,-0.005703335886130478
howev,1.567364376153901,0.07799219730149543
someth,1.6459955443329037,-0.10665143336067895
million,1.9972443815437455,-0.35167455236686007
media,1.8212893950847857,0.04287996818763373
hous,1.9054018507273969,-0.017864575857176823
econom,2.011371732290704,-0.9788942975684553
help,1.6445861028161985,0.1412604552026353
too,1.6072632322607527,0.17755579345435324
